Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Jitterbug Perfume","Roadside > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108819554/jitterbug-perfume,2.0,-1,"Trad, Sport",5.10a,1,55,48.905,-118.7255
"Another Roadside Attraction","Roadside > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108819546/another-roadside-attraction,1.0,-1,Sport,5.11a,1,60,48.905,-118.7255
Facelift,"The Bookstore - Main Area > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211222/facelift,2.0,-1,Sport,5.10a,1,80,48.90683,-118.72507
"Monkey See Monkey Do","The Bookstore - Main Area > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108210170/monkey-see-monkey-do,4.0,-1,Sport,5.10b,1,100,48.90683,-118.72507
"Romancing The Novel","The Bookstore - Main Area > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211211/romancing-the-novel,1.0,-1,"Trad, Sport",5.11b,1,65,48.90683,-118.72507
"EAST OF EDEN","The Bookstore - Rad Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/110041238/east-of-eden,2.0,-1,Sport,"5.10c PG13",1,75,48.90683,-118.72507
"Up From Eden","The Bookstore - Rad Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211259/up-from-eden,2.0,-1,Sport,5.10d,1,80,48.90683,-118.72507
"Spike Heeled Lady","The Bookstore - Rad Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108213490/spike-heeled-lady,1.0,-1,Sport,"5.10d PG13",1,75,48.90683,-118.72507
"Stealth Bomber","The Bookstore - Grey Slabs and Garden Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108213469/stealth-bomber,2.0,-1,Sport,5.10b,1,90,48.90683,-118.72507
Bumbershoot,"The Bookstore - Grey Slabs and Garden Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108249230/bumbershoot,1.0,-1,"Trad, Sport",5.10c/d,1,140,48.90683,-118.72507
"Read Between the Lines","The Bookstore - Grey Slabs and Garden Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108249245/read-between-the-lines,2.0,-1,Sport,5.10d,1,30,48.90683,-118.72507
"Gription Fiction","The Bookstore - Grey Slabs and Garden Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108249273/gription-fiction,1.0,-1,"Trad, Sport",5.10d,1,40,48.90683,-118.72507
"Inner Garden","The Bookstore - Grey Slabs and Garden Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108213481/inner-garden,1.0,-1,Sport,5.11a,1,80,48.90683,-118.72507
"MIRROR BLUE","The Bookstore - Grey Slabs and Garden Wall > The Bookstore > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/110041282/mirror-blue,2.0,-1,TR,5.12a,1,80,48.90683,-118.72507
"Water Brothers","Riverside > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211178/water-brothers,2.0,-1,"Trad, Sport",5.10b,1,70,48.905,-118.7255
"The Left Hand Of Darkness","Riverside > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211185/the-left-hand-of-darkness,2.0,-1,"Trad, Sport",5.10b,1,85,48.905,-118.7255
"The Grin Reaper","Riverside > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211197/the-grin-reaper,3.0,-1,"Trad, Sport",5.11b,1,85,48.905,-118.7255
"Reaper Madness","Riverside > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108210189/reaper-madness,4.0,-1,"Trad, Sport",5.11c,1,80,48.905,-118.7255
"Grok This!","Riverside > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211168/grok-this,3.0,-1,Sport,5.11d,1,65,48.905,-118.7255
"Back in the Saddle","Ridgeback > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108213510/back-in-the-saddle,1.0,-1,"Trad, Sport",5.10a,1,130,48.90499,-118.7255
Bareback,"Ridgeback > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108213529/bareback,2.0,-1,"Trad, Sport",5.10d,1,120,48.90499,-118.7255
"Chomping at the Bit","Ridgeback > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108213523/chomping-at-the-bit,2.0,-1,"Trad, Sport",5.11b,1,125,48.90499,-118.7255
"Climb, Sleep, Eat, Drink, Dream","Tonata Creek Wall - Lower Wall > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211061/climb-sleep-eat-drink-dream,2.0,-1,Sport,5.7,1,95,48.89992,-118.73245
Moonchild,"Tonata Creek Wall - Lower Wall > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211139/moonchild,2.0,-1,"Trad, Sport",5.7,1,80,48.89992,-118.73245
"Frame by Frame","Tonata Creek Wall - Lower Wall > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108211090/frame-by-frame,1.0,-1,"Trad, Sport",5.10d,1,110,48.89992,-118.73245
"LOST HORIZON","Shangri La > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/110041673/lost-horizon,2.0,-1,Sport,5.10c,1,75,48.90491,-118.73766
"DEJA VU","Shangri La > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/110041645/deja-vu,2.0,-1,Sport,5.11a,1,60,48.90491,-118.73766
"SIDE SHOW","Shangri La > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/110041663/side-show,1.0,-1,TR,5.11a,1,85,48.90491,-118.73766
Alkahest,"The Shield > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/109398569/alkahest,2.0,-1,Sport,5.7,1,55,48.81244,-118.75445
"Brown Shoes Don't Make It","The Shield > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/109409128/brown-shoes-dont-make-it,2.0,-1,Sport,5.8,1,105,48.81244,-118.75445
"Smear Tactics","The Shield > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/109409140/smear-tactics,2.0,-1,Sport,5.9,1,100,48.81244,-118.75445
"The Shield Direct","The Shield > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108210250/the-shield-direct,2.0,-1,Sport,"5.10a PG13",1,160,48.81244,-118.75445
"Next To Nuthin'","The Shield > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/109409144/next-to-nuthin,1.0,-1,TR,5.11,1,80,48.81244,-118.75445
Nuthin',"The Shield > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/109409155/nuthin,1.0,-1,TR,5.11,1,75,48.81244,-118.75445
"Little Eva","Talus Boulders > Morning Rock Bouldering > Kettle Valley Bouldering > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/112810159/little-eva,1.0,-1,TR,5.9,1,30,48.89211,-118.69947
TLB,"Talus Boulders > Morning Rock Bouldering > Kettle Valley Bouldering > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/112810152/tlb,2.0,-1,Sport,5.10d,1,30,48.89211,-118.69947
"Let's Go Brandon","Lower Sunnyside (aka The Billboard) > Sunnyside > Main Wall - Middle Tier North End > Main Wall > McLoughlin Canyon (Tonasket) > Okanogan > Washington",https://www.mountainproject.com/route/122847243/lets-go-brandon,2.0,-1,Sport,5.10a,1,60,48.64922,-119.4408
