Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Your Sister","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107258492/your-sister,1.4,-1,Sport,5.7+,1,30,47.43441,-121.65881
"Absolutely Nothing","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105799843/absolutely-nothing,2.6,-1,Sport,5.9-,1,70,47.43441,-121.65881
Self-Quarantine,"We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118981846/self-quarantine,2.5,-1,Sport,5.9-,1,75,47.43441,-121.65881
Blockhead,"We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105804241/blockhead,2.4,-1,Sport,5.9,1,60,47.43441,-121.65881
"Black Caboose","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106579497/black-caboose,1.7,-1,Sport,5.9,1,65,47.43441,-121.65881
"Some Drugs","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106579554/some-drugs,2.4,-1,Sport,5.9,1,65,47.43441,-121.65881
Sobriety,"We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106579528/sobriety,2.0,-1,Sport,5.9+,1,65,47.43441,-121.65881
"My X Wife (Short and Easy)","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107258485/my-x-wife-short-and-easy,1.9,-1,Sport,5.10a,1,30,47.43441,-121.65881
"The Joker","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107121934/the-joker,1.9,-1,Sport,5.10a/b,1,30,47.43441,-121.65881
"Bad Choo Choo","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107641438/bad-choo-choo,2.6,-1,Sport,5.10b,1,50,47.43441,-121.65881
"Blockhead Direct","We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117149617/blockhead-direct,2.6,-1,Sport,5.10b,1,75,47.43441,-121.65881
N't,"We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123085653/nt,2.3,-1,Sport,5.10d,1,50,47.43441,-121.65881
"Flammable Pajamas","Write-off Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106002151/flammable-pajamas,1.6,-1,"Sport, TR",5.4,1,35,47.43731,-121.66364
"Bu the Rabbit","Write-off Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109140029/bu-the-rabbit,1.4,-1,TR,5.4,1,20,47.43731,-121.66364
"Mom There's Pink in my Burger","Write-off Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106002141/mom-theres-pink-in-my-burger,1.7,-1,"Sport, TR",5.6,1,50,47.43731,-121.66364
"Bottoms Up","Write-off Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106241707/bottoms-up,2.0,-1,Sport,5.7,1,40,47.43731,-121.66364
"Crotchety Old Men","Write-off Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107641448/crotchety-old-men,1.6,-1,Sport,5.7,1,40,47.43731,-121.66364
"Legacy Bolt","Write-off Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118046581/legacy-bolt,1.7,-1,"Sport, TR",5.8,1,45,47.43731,-121.66364
"Knife in the Toaster","Write-off Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106002147/knife-in-the-toaster,1.8,-1,"Sport, TR",5.9,1,50,47.43731,-121.66364
"Homo Erectus","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106810828/homo-erectus,2.1,-1,Sport,5.6,1,75,47.43698,-121.66337
"Turf Safari","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106589599/turf-safari,0.8,-1,Sport,5.7,1,30,47.43698,-121.66337
"Glob Job","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106589615/glob-job,1.9,-1,"Sport, TR",5.7,1,40,47.43698,-121.66337
"Rug Monkey","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107783732/rug-monkey,2.0,-1,Sport,5.7,1,85,47.43698,-121.66337
"Glom Don","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106810822/glom-don,1.7,-1,Sport,5.8-,1,30,47.43698,-121.66337
Hurly-Burly,"Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106810808/hurly-burly,2.3,-1,Sport,5.9,1,25,47.43698,-121.66337
"Primordial Blues","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107783741/primordial-blues,1.8,-1,Sport,5.9,1,25,47.43698,-121.66337
Lovey-Dovey,"Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107616232/lovey-dovey,2.7,-1,Sport,5.10a,1,60,47.43698,-121.66337
"Bwana Be Your Man","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106589607/bwana-be-your-man,1.5,-1,Sport,5.10b,1,30,47.43698,-121.66337
Subliminal,"Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107616162/subliminal,2.3,-1,Sport,5.10b,1,25,47.43698,-121.66337
Namby-Pamby,"Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107616268/namby-pamby,2.6,-1,Sport,5.10b,1,60,47.43698,-121.66337
"Slippery When Wet","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108512064/slippery-when-wet,2.2,-1,Sport,5.10c,1,60,47.43698,-121.66337
"You're Only Nice to Me When You're Wet","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108512160/youre-only-nice-to-me-when-youre-wet,2.1,-1,Sport,5.10c,1,60,47.43698,-121.66337
"Chain Smokin'","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110669139/chain-smokin,2.2,-1,Sport,5.10c,1,25,47.43698,-121.66337
"Savannah Daydreamin'","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117309036/savannah-daydreamin,1.9,-1,Sport,5.10c,1,30,47.43698,-121.66337
"You're Only Nice to Me When I Tie You Up","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108512177/youre-only-nice-to-me-when-i-tie-you-up,2.4,-1,Sport,5.10d,1,45,47.43698,-121.66337
"Hangover Helper","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108273656/hangover-helper,2.5,-1,Sport,5.11a,1,60,47.43698,-121.66337
Subversive,"Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108512206/subversive,1.6,-1,Sport,5.11a,1,30,47.43698,-121.66337
"Stick Boy","Substation > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108512054/stick-boy,1.6,-1,Sport,5.11d,1,40,47.43698,-121.66337
"Rhino Vista","Hall Creek Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107667060/rhino-vista,2.8,-1,"Sport, TR",5.8,1,40,47.43379,-121.65848
"Squeeze One Out","Hall Creek Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125181709/squeeze-one-out,2.0,-1,Sport,5.8,1,40,47.43379,-121.65848
"Erectile Dysfunction","Hall Creek Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107641422/erectile-dysfunction,1.4,-1,Sport,"5.9- PG13",1,40,47.43379,-121.65848
"Occam's Razor","Hall Creek Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107641432/occams-razor,1.6,-1,Sport,5.9,1,40,47.43379,-121.65848
"Erection Rejection","Hall Creek Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107641400/erection-rejection,1.5,-1,Sport,5.10a,1,40,47.43379,-121.65848
"Rhino Rave","Hall Creek Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107667064/rhino-rave,2.4,-1,"Sport, TR",5.10a,1,40,47.43379,-121.65848
"Sport Sickness","Hall Creek Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107668444/sport-sickness,0.7,-1,Sport,5.10c,1,40,47.43379,-121.65848
"Jiffy Pop","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108510576/jiffy-pop,1.7,-1,Sport,5.7,1,50,47.43537,-121.66052
"Derailed (short) ""Der""","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114560757/derailed-short-der,1.8,-1,Sport,5.7,1,50,47.43537,-121.66052
"Underground Economy","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108184444/underground-economy,1.8,-1,Sport,5.9,1,60,47.43537,-121.66052
"Black Market","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108510604/black-market,0.5,-1,Sport,"5.9+ PG13",1,40,47.43537,-121.66052
"Old Milwaukee Road","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108330417/old-milwaukee-road,3.1,-1,Sport,5.10a,1,90,47.43537,-121.66052
"Won't Get Fooled Again","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108185785/wont-get-fooled-again,2.4,-1,Sport,5.10a/b,1,70,47.43537,-121.66052
Underhanded,"Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117691841/underhanded,1.0,-1,"Sport, TR",5.10b,1,50,47.43537,-121.66052
"Side Dish","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/111859673/side-dish,1.9,-1,Sport,5.10c,1,50,47.43537,-121.66052
"The Underture","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108206800/the-underture,2.6,-1,Sport,5.10c,1,60,47.43537,-121.66052
"Just Dessert","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108206828/just-dessert,2.6,-1,Sport,5.10c,1,50,47.43537,-121.66052
"Happy Black","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108510570/happy-black,2.5,-1,Sport,5.10c,1,40,47.43537,-121.66052
"Rat Face","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109488411/rat-face,2.4,-1,Sport,5.10c,1,100,47.43537,-121.66052
Derailed,"Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108184472/derailed,3.0,-1,Sport,5.10d,1,80,47.43537,-121.66052
"The Overture","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108510539/the-overture,2.6,-1,Sport,5.11a,1,70,47.43537,-121.66052
"Late for Dinner","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109083964/late-for-dinner,3.1,-1,Sport,5.11a,1,50,47.43537,-121.66052
"La Vida Locomotive","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109116887/la-vida-locomotive,3.4,-1,Sport,5.11a,1,90,47.43537,-121.66052
"Gray Market","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/121020998/gray-market,3.0,-1,Sport,5.11b/c,1,90,47.43537,-121.66052
"38 , Life ,  the Universe, Everything","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124940678/38-life-the-universe-everything,4.0,-1,Sport,5.11c,1,50,47.43537,-121.66052
"The End","Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108514519/the-end,2.0,-1,Sport,5.12a,1,100,47.43537,-121.66052
Deliverance,"Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108514497/deliverance,2.0,-1,Sport,5.13b,1,30,47.43537,-121.66052
Unknown,"Deception Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/121175809/unknown,2.0,-1,Sport,5.13d,1,35,47.43537,-121.66052
"Easy Money","Kiosk Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/112136873/easy-money,2.0,-1,Sport,"5.11a PG13",1,25,47.43775,-121.66398
"Baby Squish","Baby Squish Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117091420/baby-squish,1.0,-1,Sport,5.6,1,30,47.43734,-121.6643
"Squish Baby","Baby Squish Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117091415/squish-baby,1.0,-1,Sport,5.10a,1,30,47.43734,-121.6643
"Baby Love","Baby Squish Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117091409/baby-love,1.6,-1,Sport,5.10b,1,25,47.43734,-121.6643
"November Sunrise","Shakespeare Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117506807/november-sunrise,2.2,-1,Sport,5.6,1,55,47.43469,-121.6608
Macbeth,"Shakespeare Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117506683/macbeth,2.8,-1,Sport,5.10a,1,75,47.43469,-121.6608
"As You Like It","Shakespeare Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117506697/as-you-like-it,2.2,-1,Sport,5.10a,1,60,47.43469,-121.6608
"Comedy of Errors","Shakespeare Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117506744/comedy-of-errors,2.4,-1,Sport,5.10b,1,40,47.43469,-121.6608
"Midsummer Nights Dream","Shakespeare Wall > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117506768/midsummer-nights-dream,2.6,-1,Sport,5.10b,1,40,47.43469,-121.6608
Outburst,"Outburst Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117533867/outburst,2.8,-1,Sport,5.10d,1,35,47.43739,-121.66329
"Baptized in the River Black","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/112057676/baptized-in-the-river-black,1.4,-1,Sport,5.8,1,50,47.42952,-121.62058
"Hanging on a String Theory","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/112057699/hanging-on-a-string-theory,1.7,-1,Sport,5.8,1,70,47.42952,-121.62058
"Jerry Was a Race Car Driver","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109497344/jerry-was-a-race-car-driver,1.8,-1,Sport,5.8,1,70,47.42952,-121.62058
"Closeness to Forever as the Soil Bleeds Black","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109280107/closeness-to-forever-as-the-soil-bleeds-black,2.6,-1,Sport,5.8+,1,70,47.42952,-121.62058
"Like Flowers Come Spring","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114955236/like-flowers-come-spring,2.8,-1,Sport,5.9-,2,140,47.42952,-121.62058
"The Fall of Sixteen","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117250433/the-fall-of-sixteen,2.1,-1,Sport,5.9,1,60,47.42952,-121.62058
"Micro Bliss","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120505301/micro-bliss,2.8,-1,Sport,5.9,1,35,47.42952,-121.62058
"Endless Bliss","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105798597/endless-bliss,3.1,-1,Sport,5.9,2,130,47.42952,-121.62058
"Stairway to Stem","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110503508/stairway-to-stem,2.3,-1,Sport,5.9,2,120,47.42952,-121.62058
"Elation at the End of Eternity","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105798604/elation-at-the-end-of-eternity,2.8,-1,Sport,5.9+,2,135,47.42952,-121.62058
Sinkerville,"Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109607222/sinkerville,2.4,-1,Sport,5.9+,1,70,47.42952,-121.62058
"Web Slinger 1","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107691968/web-slinger-1,2.4,-1,Sport,5.10a,1,90,47.42952,-121.62058
"Abyss Behind the Gaze of Humanity","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117720850/abyss-behind-the-gaze-of-humanity,2.4,-1,Sport,5.10b,1,90,47.42952,-121.62058
"Burdo 8","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108243360/burdo-8,2.5,-1,Sport,5.10c,1,60,47.42952,-121.62058
"Super Squish","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105798601/super-squish,2.7,-1,Sport,5.10d,1,30,47.42952,-121.62058
"Web Slinger 2","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107691973/web-slinger-2,3.0,-1,Sport,5.10d,1,50,47.42952,-121.62058
"Embraced by the Chipmunk Empire","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109497380/embraced-by-the-chipmunk-empire,2.6,-1,Sport,5.10d,1,30,47.42952,-121.62058
"[L] Superfluous Bliss","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124988849/l-superfluous-bliss,3.5,-1,Sport,5.10d,1,135,47.42952,-121.62058
"Tea Time","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106473809/tea-time,3.2,-1,Sport,5.11b,1,60,47.42952,-121.62058
"Burdo 9","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107711747/burdo-9,2.3,-1,Sport,5.11c,1,60,47.42952,-121.62058
Dislocated,"Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110503770/dislocated,2.7,-1,Sport,5.11c,2,120,47.42952,-121.62058
"Postemulation: Stretcher of the Infinite","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107766387/postemulation-stretcher-of-the-infinite,1.9,-1,Sport,5.11d,1,35,47.42952,-121.62058
"Match Stick","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110175380/match-stick,1.8,-1,Sport,5.11d,1,40,47.42952,-121.62058
"I Wanna Go Home","(d) Lost Boys > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105853976/i-wanna-go-home,2.1,-1,Sport,5.9,2,115,47.43519,-121.6319
"The Plank","(d) Lost Boys > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105854030/the-plank,2.9,-1,Sport,5.10a,3,200,47.43519,-121.6319
"Lost My Marbles","(d) Lost Boys > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105858455/lost-my-marbles,2.1,-1,Sport,5.10b/c,2,100,47.43519,-121.6319
"Sleep or Awake?","(d) Lost Boys > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107121962/sleep-or-awake,2.7,-1,Sport,5.10+,1,45,47.43519,-121.6319
"I Can Fly!","(d) Lost Boys > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106927869/i-can-fly,3.2,-1,Sport,5.11c,1,50,47.43519,-121.6319
"Seize the Day","(d) Lost Boys > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106927894/seize-the-day,1.0,-1,Sport,"5.11d PG13",1,70,47.43519,-121.6319
"Believe in Smee","(c) Smee > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105854048/believe-in-smee,1.0,-1,Sport,5.2,1,20,47.43536,-121.63211
Hamster,"(c) Smee > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105854040/hamster,2.5,-1,Sport,5.9+,1,60,47.43536,-121.63211
"Tick Tock","(b) Croc > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108130031/tick-tock,2.3,-1,Sport,5.10-,1,45,47.4355,-121.63228
"Bite Me","(b) Croc > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107602277/bite-me,1.9,-1,Sport,5.10,1,40,47.4355,-121.63228
"Hard to Port","(a) Hook > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105858433/hard-to-port,2.4,-1,Sport,5.10a,1,60,47.43578,-121.63242
"Pixie Dust","(a) Hook > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105858437/pixie-dust,2.4,-1,Sport,5.10b,1,60,47.43578,-121.63242
"Think Happy Thoughts","(a) Hook > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105858448/think-happy-thoughts,2.4,-1,Sport,5.10c,1,60,47.43578,-121.63242
Tink,"(a) Hook > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/121075664/tink,3.0,-1,TR,5.10+,1,40,47.43578,-121.63242
"So Easy I Forgot to Laugh","Gritscone > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106521648/so-easy-i-forgot-to-laugh,1.1,-1,"Sport, TR, Boulder","5.5 V-easy",1,15,47.43101,-121.62698
"The Beginning","Gritscone > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106760955/the-beginning,1.6,-1,Sport,5.6,1,30,47.43101,-121.62698
"So Funny I Forgot to Rope Up","Gritscone > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106521660/so-funny-i-forgot-to-rope-up,1.5,-1,"Sport, TR",5.7,1,15,47.43101,-121.62698
"Pete's Possum Palace","Gritscone > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106521666/petes-possum-palace,1.9,-1,"Sport, TR",5.7,1,30,47.43101,-121.62698
"Snaffle Baffler","Gritscone > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106760933/snaffle-baffler,2.0,-1,Sport,5.7,1,25,47.43101,-121.62698
"Needle Magnet","Gritscone > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106760941/needle-magnet,1.7,-1,"Sport, TR",5.7,1,25,47.43101,-121.62698
