Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Secure Attachment","West Face > Beacon Rock > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/120753823/secure-attachment,2.7,-1,"Sport, TR",5.10c,1,80,45.62669,-122.02143
"Drill's Thrill","West Face > Beacon Rock > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/117014193/drills-thrill,3.3,-1,Sport,5.11b,1,90,45.62669,-122.02143
"Durin's Bane","West Face > Beacon Rock > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/122322645/durins-bane,4.0,-1,Sport,5.12b/c,1,75,45.62669,-122.02143
"Step Child","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106439428/step-child,2.9,-1,Sport,5.10a,1,65,45.56754,-122.21005
"The Tumbling","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/114502193/the-tumbling,1.8,-1,Sport,5.10b,1,,45.56754,-122.21005
"Getting Your Kicks","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/108344993/getting-your-kicks,2.7,-1,Sport,5.11a,1,80,45.56754,-122.21005
"Tofutti Cutie","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/110168778/tofutti-cutie,2.7,-1,Sport,5.11a,1,95,45.56754,-122.21005
Hellboy,"{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106388608/hellboy,2.7,-1,Sport,5.11,1,70,45.56754,-122.21005
"Mrs. Norris","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106229599/mrs-norris,3.0,-1,Sport,5.11c,1,70,45.56754,-122.21005
"Route 66","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/108273586/route-66,3.3,-1,Sport,5.11c,1,95,45.56754,-122.21005
"The Humbling","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106987004/the-humbling,3.2,-1,Sport,5.11d,1,60,45.56754,-122.21005
"The Crumbling","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107135553/the-crumbling,3.0,-1,Sport,5.12a,1,60,45.56754,-122.21005
"Link Up: Crumbling-to-Humbling","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/115434485/link-up-crumbling-to-humbling,3.0,-1,Sport,5.12a,1,65,45.56754,-122.21005
Grace,"{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106350635/grace,3.2,-1,Sport,5.12b,1,65,45.56754,-122.21005
"Dark Lord","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106388638/dark-lord,3.1,-1,Sport,5.12c,1,65,45.56754,-122.21005
"Slack Face","{10} Mordor > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106399197/slack-face,4.0,-1,Sport,5.12d,1,65,45.56754,-122.21005
Pisa,"(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/112016272/pisa,1.0,-1,"Trad, TR","5.8 PG13",1,35,45.56726,-122.21031
"Rusty Cage","(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/113374316/rusty-cage,2.4,-1,Sport,5.8,1,115,45.56726,-122.21031
"Pandora's Box","(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/110361535/pandoras-box,2.2,-1,Sport,5.8+,1,60,45.56726,-122.21031
"Standing Ovation","(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107196099/standing-ovation,2.6,-1,Sport,5.9,1,80,45.56726,-122.21031
Orion,"(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/108241811/orion,2.8,-1,Sport,5.10,1,35,45.56726,-122.21031
"Piton Variation","(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/109532692/piton-variation,2.0,-1,Sport,5.10c,1,20,45.56726,-122.21031
"The Bulge","(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/109978904/the-bulge,2.0,-1,"Trad, TR, Boulder","5.11+ V3",1,60,45.56726,-122.21031
"Numb Nuts","(9) New School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106439545/numb-nuts,2.6,-1,Sport,5.8,1,95,45.56738,-122.21013
"No Nuts","(9) New School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106439560/no-nuts,2.3,-1,Sport,5.9,1,95,45.56738,-122.21013
"Gophers Gone Wild","(9) New School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106354639/gophers-gone-wild,1.9,-1,Sport,5.11b,1,70,45.56738,-122.21013
"Party At The Moon Tower","(3) Snake Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/106957749/party-at-the-moon-tower,2.8,-1,Sport,5.10a,1,60,45.5667,-122.21137
Vicious,"(3) Snake Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107324388/vicious,2.6,-1,Sport,5.11a,1,70,45.5667,-122.21137
"Burrito Killa","(7) Heaven's Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/107234047/burrito-killa,2.7,-1,Sport,5.10b,1,30,45.56714,-122.21051
