Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Moosehead,"Maine Crag > Pigeon Stool Group Lower > Pigeon Stool Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/120953016/moosehead,1.0,-1,Sport,5.8,1,25,48.45091,-122.62671
"Surf and Turf","Maine Crag > Pigeon Stool Group Lower > Pigeon Stool Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/120942581/surf-and-turf,1.0,-1,Sport,5.10b,1,30,48.45091,-122.62671
"Condition Red","Chimney Brick Wall > Pigeon Stool Group Lower > Pigeon Stool Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/122490734/condition-red,2.0,-1,"Sport, TR",5.9,1,50,48.45124,-122.62641
"Red Dog","Chimney Brick Wall > Pigeon Stool Group Lower > Pigeon Stool Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/122490748/red-dog,2.0,-1,"Sport, TR",5.9,1,50,48.45124,-122.62641
"Short Circuit","Diagonal Wall > Pigeon Stool Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/118609613/short-circuit,1.0,-1,Sport,5.6,1,55,48.4508,-122.62515
Promenade,"Diagonal Wall > Pigeon Stool Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/118609647/promenade,1.5,-1,Sport,5.6,1,55,48.4508,-122.62515
S-crack,"Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330937/s-crack,1.8,-1,Sport,"5.10 X",1,35,48.41877,-122.66113
"Unknown 5.11","Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330920/unknown-511,2.4,-1,Sport,"5.11b PG13",1,25,48.41877,-122.66113
"Girlfriend Route","Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330931/girlfriend-route,1.8,-1,Sport,"5.11b X",1,35,48.41877,-122.66113
Priapism,"Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108338130/priapism,2.9,-1,Sport,5.12b,1,45,48.41877,-122.66113
Razors,"Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330915/razors,1.5,-1,"Sport, TR",5.12,1,20,48.41877,-122.66113
[Redacted],"Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330942/redacted,3.0,-1,Sport,5.12c,1,40,48.41877,-122.66113
"Power Anorexic","Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330962/power-anorexic,2.7,-1,Sport,5.12c,1,45,48.41877,-122.66113
"Green Giant","Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330969/green-giant,3.1,-1,Sport,5.13a,1,45,48.41877,-122.66113
"Interstellar Matter","Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330954/interstellar-matter,3.0,-1,Sport,5.13a/b,1,40,48.41877,-122.66113
"Direct Eclipse","Rosario Beach (Refrigerator Wall) > Deception Pass > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108330950/direct-eclipse,3.0,-1,Sport,5.13c,1,40,48.41877,-122.66113
"Fly the nest","Cranberry Lake > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/119665521/fly-the-nest,2.0,-1,TR,5.8+,1,25,48.50262,-122.64268
